"CASE_ID"	"STUDY_ID"	"FOREST_NR"	"FOREST_NAME"	"AUTHOR"	"YEAR"	"PEER_OR_GREY"	"DAMAGE_OR_HERBIVORES"	"UNITY"	"HERBIVORE_GUILD"	"HERBIVORE_SPECIES"	"HERBIVORE_SPECIFICITY"	"TREE_DIV_METRIC"	"SAMPLING_ON"	"BETA_ESTIMATE"	"R_SQUARE"	"R_SQUARE_ADJUSTED"	"P_VALUE"	"PLOT_NUMBER"	"MIN_RICH"	"MAX_RICH"	"MAX_DAMAGE_FOR_STANDARD"	"NATURAL_OR_PLANTATIONS"	"SURROUNDING"	"AGE_FOREST"	"FORMER_LAND_USE"	"GPS_DEZ_X"	"GPS_DEZ_Y"	"ALTITUDE"	"ECOREGION"	"FOCAL_SPECIES"	"JUST_FOCAL"	"PLOT_SIZE"	"X"	"bio1"
"1"	1	14	1	"Weber River"	"White_Witham"	2000	"peer"	"abundance"	"density"	"insects"	"Alsophila pometaria"	"p"	"shannon"	"trees"	1,3273	0,3267	0,2786	0,02073	8	1	2	NA	"forest"	"natural"	NA	"natural"	-111,636235	40,936619	1650	"temperate"	"Populus angustifolia"	"yes"	"tree"	""	6,59341649775984
"2"	2	14	1	"Weber River"	"White_Witham"	2000	"peer"	"damage"	"percentage_damage"	"insects"	"Alsophila pometaria"	"p"	"shannon"	"trees"	27,873	0,3456	0,2989	0,01661	8	1	2	NA	"forest"	"natural"	NA	"natural"	-111,636235	40,936619	1650	"temperate"	"Populus angustifolia"	"yes"	"tree"	""	6,59341649775984
"3"	3	19	1	"San Francisco peaks"	"Fernandes, Price"	1988	"peer"	"richness"	"species_richnes"	"insects"	"galling_insects"	""	"species_richness"	"trees"	1,12	0,29	0,29	0,01	23	2	10	NA	"forest"	"mosaic"	200	"natural"	-111,712863	34,93522	2070	"mediterranean"	"pooled"	"pooled"	NA	""	10,6917454412799
"4"	4	32	1	"Port Moresby"	"Johnstone"	1981	"peer"	"damage"	"leaf_area_removed"	"pooled"	"pooled"	""	"species_richness"	"trees"	0,07843	0,001268	-0,0126	0,7633	1	1	10	"100,00000000"	"forest"	NA	200	"forest"	147,203462	-9,49635	0	"mangrove"	"pooled"	"pooled"	"1963,49500000"	""	26,71463315264
"5"	5	37	1	"Mount Kilimanjaro"	"Axmacher_al"	2009	"peer"	"abundance"	"abundance"	"insects"	"Geomotridea"	""	"species_richness"	"traps"	0,3743	0,01264	-0,0285	0,5845	26	14	49	NA	"forest"	"mosaic"	NA	"forest"	37,21667	-3,21667	1330	"tropical"	"pooled"	"pooled"	"400,00000000"	""	18,8891072006402
"6"	6	37	1	"Mount Kilimanjaro"	"Axmacher_al"	2009	"peer"	"richness"	"species_richnes"	"insects"	"Geomotridea"	""	"species_richness"	"traps"	-8,082	0,1907	0,157	0,02569	26	14	49	NA	"forest"	"mosaic"	NA	"forest"	37,21667	-3,21667	1330	"tropical"	"pooled"	"pooled"	"400,00000000"	""	18,8891072006402
"7"	7	40	1	"Cleveland"	"Sumerall_al"	2010	"grey"	"damage"	"seedlings_damaged"	"mammals"	"pooled"	""	"species_richness"	"saplings"	-0,9378	0,00049	-0,999	0,9859	1	1	2	"100,00000000"	"plantation"	"mosaic"	1	NA	-90,714435	33,79711	40	"boreal"	"pooled"	"pooled"	NA	""	17,01305909216
"8"	8	54	1	"Colorado Plateau"	"Sholes"	2008	"peer"	"damage"	"shoots_damaged"	"insects"	"Dioryctria albovitella"	""	"species_richness"	"trees"	4,936	0,2375	0,1993	0,02143	11	1	2	NA	"forest"	"forest"	200	"forest"	-111,492254	35,363102	2130	"temperate"	"Pinus edulis"	"yes"	NA	""	7,84784008919039
"9"	9	59	1	"Satakunta"	"Milligan_Koricheva"	2013	"peer"	"damage"	"percentage_damage"	"mammals"	"Alces Alces"	"p"	"shannon"	"trees"	-0,01601167	7,069e-05	-0,01915872	0,95188646	54	1	5	"100,00000000"	"plantation"	"forest"	12	"forest"	21,916667	61,683333	50	"boreal"	"Picea abies"	"yes"	"400,00000000"	""	3,9
"10"	10	59	1	"Satakunta"	"Milligan_Koricheva"	2013	"peer"	"damage"	"percentage_damage"	"mammals"	"Alces Alces"	"p"	"shannon"	"trees"	2,54615477	0,06228186	0,04189668	0,08714885	48	1	5	"100,00000000"	"plantation"	"forest"	12	"forest"	21,916667	61,683333	50	"boreal"	"Larix sibirica"	"yes"	"400,00000000"	""	3,9
